accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_car,involves_pedestrian,involves_motorcycle,longitude,latitude
219249,3,11,18,2,3,0,f,t,f,t,13.42689483,52.53393955
219248,7,12,19,7,3,6,f,t,t,f,13.39209027,52.43995086
219247,4,12,17,4,3,5,f,t,f,f,13.32624193,52.53802784
219246,4,12,15,7,3,5,f,t,f,t,13.31652064,52.49953417
219243,11,12,9,5,3,3,f,t,f,f,13.52575163,52.49386714
219241,1,12,22,5,3,1,f,t,f,f,13.37353829,52.53096213
219240,10,12,5,1,3,1,f,t,f,f,13.60523023,52.53584537
219239,7,12,20,7,2,5,f,t,f,f,13.34961395,52.48943851
219238,1,11,22,3,3,2,f,t,f,f,13.38378941,52.55124558
219237,2,12,7,2,3,6,f,t,t,f,13.38345801,52.49378526
219235,11,12,19,3,3,2,f,t,f,f,13.51520192,52.56713943
219233,7,12,13,7,3,3,f,t,f,t,13.36775616,52.49334102
219230,7,12,10,3,3,6,f,f,t,f,13.34496711,52.49113688
219229,7,12,19,4,3,6,f,t,t,f,13.34076867,52.49993372
219228,1,12,19,4,3,5,f,t,f,f,13.37680527,52.50951959
219226,7,12,18,5,3,6,f,f,t,f,13.3283651,52.46621546
219225,6,12,7,5,3,6,f,t,t,f,13.26178321,52.4417447
219223,6,11,15,2,3,5,f,t,f,f,13.24116591,52.43849547
219221,4,12,18,4,3,5,t,t,f,f,13.30791309,52.48845278
219220,9,12,21,4,2,8,f,t,f,f,13.4619448,52.454468
219219,7,12,17,2,3,5,f,t,f,t,13.34366241,52.47121631
219217,4,12,17,7,3,6,f,f,t,f,13.33266585,52.5063255
219216,1,11,18,3,3,0,f,t,f,t,13.3492624,52.51506335
219215,9,12,11,2,2,6,f,t,t,f,13.55057965,52.42904384
219214,1,12,9,2,3,0,t,t,f,f,13.37669957,52.50827479
219213,3,12,18,2,3,6,f,t,t,f,13.4384967,52.5524347
219211,8,12,19,4,3,2,f,t,f,f,13.43148363,52.46721899
