accident_id,district_code,accident_month,accident_hour,accident_weekday,accident_category_code,accident_type_code,involves_bicycle,involves_pedestrian,longitude,latitude
219248,7,12,19,7,3,6,f,t,13.39209027,52.43995086
219237,2,12,7,2,3,6,f,t,13.38345801,52.49378526
219230,7,12,10,3,3,6,f,t,13.34496711,52.49113688
219229,7,12,19,4,3,6,f,t,13.34076867,52.49993372
219226,7,12,18,5,3,6,f,t,13.3283651,52.46621546
219225,6,12,7,5,3,6,f,t,13.26178321,52.4417447
219221,4,12,18,4,3,5,t,f,13.30791309,52.48845278
219217,4,12,17,7,3,6,f,t,13.33266585,52.5063255
219215,9,12,11,2,2,6,f,t,13.55057965,52.42904384
219214,1,12,9,2,3,0,t,f,13.37669957,52.50827479
219213,3,12,18,2,3,6,f,t,13.4384967,52.5524347
219206,10,12,16,2,2,6,f,t,13.59823297,52.52839961
219195,4,12,17,2,3,6,f,t,13.3333858,52.48598039
219193,5,12,18,4,3,5,t,f,13.17922829,52.54864203
219190,1,12,12,6,3,1,t,f,13.40872126,52.52639286
219189,3,12,17,5,2,5,t,f,13.44403463,52.53383903
219188,7,12,18,3,3,5,t,f,13.32854151,52.46490792
219180,5,12,16,3,3,0,t,f,13.20053294,52.53665496
219178,9,12,17,3,3,6,f,t,13.53851982,52.42013462
219175,3,12,14,5,2,6,t,t,13.47948842,52.55588825
219172,1,11,20,3,2,6,f,t,13.34525341,52.53918465
219170,8,12,11,3,3,6,f,t,13.4416576,52.46964673
219169,11,12,16,2,3,5,t,f,13.4865488,52.5520336
219167,11,12,12,5,3,1,t,f,13.5301684,52.49432263
219163,6,11,15,3,3,5,t,f,13.33468927,52.41726546
219162,10,12,5,2,3,6,f,t,13.5516257,52.5543062
219161,2,12,16,2,3,6,f,t,13.42870657,52.49394608
219152,8,12,7,4,2,6,f,t,13.44818781,52.47762415
219151,9,12,18,2,3,2,t,f,13.54559048,52.43699986
219148,1,12,15,5,3,0,t,f,13.3876178,52.53337631
219140,2,12,9,4,3,6,f,t,13.38240017,52.5043678
219137,6,12,14,5,3,6,f,t,13.26676539,52.41211822
219136,12,12,11,7,3,6,f,t,13.29463366,52.57612526
219130,11,12,8,6,2,2,t,f,13.4961473,52.50021673
219129,11,12,16,2,3,6,f,t,13.48593464,52.5209323
219128,1,12,14,6,3,2,t,f,13.38720431,52.52653176
219125,11,12,18,6,3,6,f,t,13.47827589,52.53097938
219121,11,12,16,2,3,6,t,t,13.48328963,52.50047683
219120,1,12,9,1,3,6,f,t,13.35034674,52.53239077
219111,12,12,17,6,3,0,f,t,13.35592679,52.59819378
219110,3,12,16,6,3,5,t,f,13.43649048,52.54846501
219109,9,12,13,7,3,6,f,t,13.57406078,52.45686124
219107,4,12,14,2,3,6,f,t,13.27028079,52.51078164
219105,1,12,12,4,3,5,t,f,13.3413303,52.50519316
219099,2,12,5,2,2,6,f,t,13.42221822,52.50048862
219097,2,12,19,4,3,5,t,f,13.46440441,52.50991559
219094,2,12,14,5,3,1,t,f,13.38428038,52.4958187
219093,2,12,7,5,3,5,t,f,13.4077683,52.48889641
219088,7,12,13,3,3,2,t,f,13.36349874,52.47828799
219086,1,12,14,7,3,2,t,f,13.35770887,52.50115514
219082,1,12,16,6,2,6,f,t,13.35607778,52.55532798
219078,1,12,17,3,3,1,t,f,13.36139663,52.50012696
219069,3,12,8,2,3,6,f,t,13.43401815,52.54983167
219068,9,12,21,1,3,5,t,f,13.48138962,52.46080819
219067,1,11,7,3,3,6,f,t,13.34486166,52.53913834
219066,2,12,17,2,3,0,t,f,13.43294346,52.51806404
219064,11,12,16,5,3,5,t,f,13.47440847,52.50448
219062,1,12,19,7,3,6,f,t,13.386403,52.55864843
219055,12,12,21,5,3,6,f,t,13.36053212,52.5968058
219054,8,12,10,6,3,6,f,t,13.42115794,52.49554755
219052,2,12,13,5,3,5,t,f,13.4587347,52.52048014
219050,4,12,16,5,3,6,f,t,13.33427807,52.49859044
219047,1,12,14,1,3,2,t,f,13.3935253,52.51233654
219046,4,12,20,4,2,6,f,t,13.3308363,52.48601886
219045,10,12,15,5,3,6,f,t,13.584013,52.52420984
219044,8,12,10,3,3,6,f,t,13.48995252,52.42013961
219042,1,12,7,5,2,6,f,t,13.33403436,52.52354894
219041,3,12,19,5,3,1,t,f,13.42349506,52.54316133
219036,6,12,19,4,3,6,f,t,13.27780476,52.43192471
219033,10,12,13,6,3,5,t,f,13.55827873,52.55399136
219031,9,12,23,7,3,0,f,t,13.54274072,52.42387048
219029,4,12,16,2,3,5,t,f,13.32314189,52.49109312
219026,2,12,21,5,3,5,t,f,13.42486148,52.50202525
219023,4,12,14,2,3,0,t,f,13.3206747,52.5018733
219021,7,12,18,4,3,1,t,f,13.37351766,52.45552642
219020,3,12,19,2,3,0,t,f,13.42028321,52.54841869
219018,8,12,17,3,3,6,f,t,13.44627095,52.47108579
219016,6,12,15,6,3,5,t,f,13.25779733,52.43461527
219011,1,12,12,7,3,6,t,t,13.35797064,52.51696876
219010,12,12,23,4,3,6,f,t,13.29953349,52.57918639
219008,11,12,18,5,3,6,f,t,13.47362914,52.53578324
219001,6,12,18,2,3,6,f,t,13.33942537,52.46027704
218997,9,12,15,2,3,5,t,f,13.6244641,52.45051063
218993,7,11,16,2,2,6,f,t,13.34802773,52.41483607
218991,4,12,11,3,3,5,t,f,13.32009451,52.47165101
218990,4,12,20,5,3,2,t,f,13.33479288,52.49941212
218986,2,12,8,2,3,0,t,f,13.44116839,52.51819032
218983,1,12,17,3,3,6,f,t,13.36986399,52.55985498
218976,1,12,15,3,3,5,t,f,13.40561863,52.51415956
218974,11,12,19,5,3,6,f,t,13.50485518,52.56339623
218967,11,12,12,4,3,5,t,f,13.50158734,52.54896429
218959,2,12,14,3,3,6,f,t,13.38802391,52.4929762
218957,11,12,14,5,2,6,f,t,13.50387385,52.56424175
218952,9,12,9,6,3,3,t,f,13.59604549,52.44376719
218950,8,12,17,7,3,6,t,t,13.43791625,52.44837392
218946,3,12,12,5,3,3,t,f,13.40665644,52.55406253
218940,6,12,14,2,3,5,t,f,13.14369614,52.39756849
218938,1,12,19,4,3,5,t,f,13.40314693,52.52899714
218930,4,12,14,4,3,1,t,f,13.27624817,52.51461338
218927,10,12,7,4,3,5,t,f,13.58568851,52.52912098
218922,11,12,6,4,2,6,f,t,13.51053177,52.56908191
218921,4,12,9,3,3,1,t,f,13.30832325,52.49636544
218920,1,12,13,2,3,5,t,f,13.35664123,52.53566567
218916,5,12,22,6,3,5,t,f,13.20544905,52.53950932
218913,9,12,20,2,3,0,t,f,13.57170627,52.4378023
218909,1,12,16,7,3,6,f,t,13.33321436,52.56091056
218907,8,12,14,5,3,5,t,f,13.43115172,52.48460068
218905,4,11,14,2,3,1,t,f,13.31783007,52.47389584
218902,3,12,15,1,3,1,t,f,13.47604856,52.54911976
218899,7,12,13,3,3,5,t,f,13.35763943,52.48668166
218896,5,12,18,6,3,6,f,t,13.19819687,52.53303395
218894,7,12,19,1,3,6,f,t,13.35030304,52.41440182
218893,1,11,22,3,3,6,f,t,13.38417318,52.55479786
218892,9,12,10,2,3,5,t,f,13.50270483,52.47009671
